sentiment,text
positive,"I was initially concerned by the simple directions, but it really is that easy. 3 screws each side, 10mm bolts. There is one cable in there not connected to anything, that's the one you need. My only wish is that they were brighter or more directional to cast light towards the front of the bed, but they are still a massive improvement over no lights."
positive,With COVID and having to wear a mask everyday fir work I tried these.  They are comfortable but don’t fit my face right.  Otherwise they held up through cleaning and I still have in my rotation.
positive,Works great as would be expected of NGK spark plugs. Bought these to replace the ones in my motorcycle. I have no trouble with cold starts anymore and have noticed a significant difference in throttle response.
negative,Light is easy to install and bright. However any load on 12v systems turn lights on or off like when using winch or led lights. Says waterproof but unit stopped working. Never been submerged due to being a roof dome but wiring was corroded and internal corrosion found when attempting to fix. Unit is only 10 months old and I’m finding it difficult to contact customer service for warranty.
positive,Bought this unit because my large charger box stopped charging. Works great. Have used it once. My neighbors Honda Pilot had a dead battery and it started using this charger without a flinch. There were three bars left on battery after starting.
positive,Love it displaying it proudly on my car
positive,"Noticed these looked just like the overpriced leather dye applicators at the craft store, and picked some up. They work great for dying leather!"
negative,Does NOT fit 2010 GMC Acadia as it claims in the listing!
positive,Worked well in my 2004 scion xb with the aftermarket 9006 sized headlights that I bought for it.
positive,Anyone can do this
positive,Very good battery; last for a few hours running my trolling motor
positive,"My husband said that this worked as expected, was good quality and was as advertised.  He said he’d recommend."
positive,Great products
positive,Very pleased with this product
positive,Functional.  It does the one job it has very well.
negative,I’m returning the item because it won’t stick to my car.
positive,Great
positive,"Overall this is a great kit and it's very useful to check out their video tutorials on installation. I found that to be much easier than to follow the provided directions. My only issue is with routing the wire from the battery to the back end of the vehicle, that is a difficult process. It may be something Curt cannot perfect, but if that's possible, I'd definitely give it 5 stars. Otherwise, 4 for now.<br />Everything worked great and was packaged well. No frays or issues of any sort."
positive,Great key fob!
negative,Buyer BEWARE!!!....Case is NOT Included !!!!!!......Clear case of FALSE ADVERTISING/ BAIT& Switch!
negative,"it  is o,k,"
positive,"It has a strong Suction with a 120W motor which sucks up hair, ash, coffee and help keep your car clean. The cord is long enough to reach the entire car or van because the cord reaches 15'. Just plug it into your cars 12V cigarette lighter port. It produces noises less then 60dB when operating so if you use with a baby it will not bother them. It has a clear dust catch so you can see when it needs emptied without having to guess"
negative,"There is a review also telling the same story!!<br />I put it on my 2002 Toyota Sienna. In my case, it fits well, works well, and is such a great product during the first year. However, after 13 months and ~10K miles, they are squeaking...."
negative,"The black finish crows (3/8&#34; & 1/2&#34; drive) are not surface-drive; they are corner-contact types and may strip the hex on the O2 sensors.  The silver socket is the only surface-drive.<br /><br />You won't be changing O2 sensors routinely, so this set is probably worth it.  Snap-on's O2 socket is about $70/ea.<br /><br />Made in China as was expected."
